title,press,date,summary,url
연두색 번호판의 기습…S클래스 독주 끝? [데이터로 보는 세상],매경이코노미,2025-04-05,카이즈유데이터연구소 관계자는 “S클래스 구매자들이 연두색 번호판에 더 민감한 것으로 풀이된다. 차량 교체 주기가 도래해도 신형으로 교체하지 않고 더 길게 운행하는 경우 또한 S클래스가 많을 것으로 추정한다”고 설명했다. 다만 두 차종 모두 선호하는 연령대는 같았다. 40~50대...,https://www.mk.co.kr/article/11276278
'연두색 번호판' 기피 현상 감소…고급 수입차 판매 '꿈틀',뉴시스언론사 선정,2025-04-07,"지난해부터 시행한 '연두색 번호판' 제도로 고급 수입 법인차 판매량이 급감했지만, 올해 다시 반등 조짐을 보이고 있다. 24일 한국수입자동차협회(KAIDA)에 따르면 지난달까지 법인으로 등록한 1억원 이상 수입차는 5501대로 파악됐다. 지난해 같은 기간(4394대) 대비 25%가량 증가한 수치다. 지난해...",https://www.newsis.com/view/NISX20250324_0003110599
"번호판도 싫고, 살 차도 없고… 고가 수입차 '내리막'",데일리안언론사 선정,2025-04-07,"그간 법인 구매가 절반 이상을 차지해왔지만, 사적 남용을 막기 위해 도입된 연두색 번호판의 효과가 나타나고 있는 것으로 보인다. 또 법인 구매가 많던 주요 모델들의 모델 체인지 시점이 도래하며 '구매할 만한 모델'이 적어진 데 따른 것으로도 풀이된다. 27일 한국수입자동차협회(KAIDA)에...",https://www.dailian.co.kr/news/view/1477573/?sc=Naver
"""정체된 S클래스""···벤츠, 더 위 노린다",시사저널이코노미,2025-04-01,업계에선 연두색 번호판 적용 이후 S클래스 판매량이 떨어졌다는 분석도 나온다. 통상적으로 BMW보다는 벤츠 법인차 비중이 높았으며 이는 S클래스와 7시리즈에서 비슷한 양상을 보인다. 카이즈유 데이터연구소에 따르면 연두색 번호판 적용 전 S클래스 법인차 비중은 80.2%였으나 정책 시행 후 72%로 약...,https://www.sisajournal-e.com/news/articleView.html?idxno=410659
연두색 번호판 기피 현상 감소? 올해 들어 고급 수입차 판매 늘어,월요신문,2025-04-07,"사진=뉴시스 ［월요신문=전지환 기자］지난해부터 시행한 '연두색 번호판' 제도로 인해 한때 고급 수입 법인차 판매량이 감소했으나, 올해 다시 고급 수입 법인차 판매량이 반등 조짐을 보이고 있다. 25일 한국수입자동차협회(KAIDA)에 따르면 지난달까지 법인으로 등록한 1억원 이상 고가 수입 자동차는...",http://www.wolyo.co.kr/news/articleView.html?idxno=257386
'맞수' 벤츠 S클래스·BMW 7시리즈…'영원한 왕좌'는 없다?,지피코리아,2025-04-07,"그러나 고가 법인차의 연두색 번호판 제도가 시행된 지난해부터 두 차종의 연간 등록대수 격차가 급격히 줄어들었다. S클래스 등록대수는 지난해 4678대로 전년 9414대 대비 크게 줄어든 반면, 7시리즈는 지난해 4259대로 전년 3487대 대비 오히려 증가했다. 특히 올해 들어 7시리즈 등록대수는 871대로...",https://www.gpkorea.com/news/articleView.html?idxno=126703
"연두색 번호판 탓?… 고가 수입차, 영리치 대신 50대가 사",조선일보,2025-03-07,"작년 50대 구매 ‘역대 최고’ 법인차 규제를 위해 작년부터 ‘연두색 번호판’을 도입한 이후 고가 수입차 법인 판매가 직격탄을 맞게 된 상황에서 50대가 수입차 시장의 ‘새로운 큰손’으로 떠오르고 있다. 6일 한국수입자동차협회(KAIDA)에 따르면, 작년 1억원이 넘는 고가 수입차를 구매한 50대(6229명)...",https://www.chosun.com/economy/auto/2025/03/07/MPF2ABV3MRHA5FPAADA7BX4PMA/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
'연두색 번호판'에도 본국보다 판매 많아…4억 '테메라리오' 상륙,한스경제,2025-03-07,이른바 '연두색 번호판'으로 불리는 법인 전용 번호판 제도가 시행된 뒤에도 이어진 까닭이다. 최소 2억원 이상의 가격대를 형성하는 '벤틀리'는 작년 상반기 판매량이 전년보다 60% 이상 줄어 170대 수준에 그쳤다. 같은 기간 1억원 이상을 호가하는 차량의 판매량은 전년보다 20.1% 감소하기도 했다....,http://www.hansbiz.co.kr/news/articleView.html?idxno=737430
‘연두색 아니네’…공수처장 관용차 번호판 바꿀 수 있던 이유는,세계일보언론사 선정,2025-02-13,13일 국토교통부 자동차 등록번호판 등의 기준에 관한 고시에 따르면 지난해 1월부터 법인이 신규·변경 등록하는 8000만원 이상의 업무용 차량은 연두색 번호판을 부착해야 한다. 다만 경호·보안·수사 등 업무 수행에 현저히 차질이 발생한다고 인정되면 국토부 장관의 협의를 거쳐 흰색 번호판을 달 수 있다....,http://www.segye.com/newsView/20250213508084?OutUrl=naver
“연두색 번호판 창피해서?”···수입차 시세 8년만에 ‘뚝뚝’,세계일보언론사 선정,2025-02-07,"수입차시장 위축에 따른 할인 경쟁 ‘연두색 번호판’ 제도 영향 컸던 듯 직장인 김모(42) 씨는 3년 전부터 독일산 고급 세단을 구매하고 싶어 했지만, 높은 가격 때문에 쉽게 결정을 내리지 못했다. 지난해부터 수입차 브랜드들이 경쟁적으로 할인을 진행하면서, 김 씨는 마침내 원하던 차량을 이전보다...",http://www.segye.com/newsView/20250206503805?OutUrl=naver
연두색 번호판 '나비 효과'? 국산차 가격 오르고 수입차는 8년 만에 떨어졌다는데,서울경제언론사 선정,2025-02-06,컨슈머인사이트는 지난해 수입차 구입 가격 하락 원인을 수입차 시장 위축에 따른 할인 경쟁과 지난해 1월부터 시행된 ‘연두색 번호판’ 제도의 영향으로 제시했다. 연두색 번호판은 법인차의 사적 사용이나 탈세 문제를 막기 위해 도입돼 출고가 8000만 원 이상 신차에 적용되고 있다. 국산차에도...,https://www.sedaily.com/NewsView/2GOV502ANU
